0	79.7271728515625	99.945068359375	74.005126953125	76.2939453125
3	84.3048095703125	109.100341796875	80.108642578125	83.160400390625
6	83.160400390625	108.7188720703125	78.9642333984375	82.7789306640625
9	84.3048095703125	106.048583984375	77.81982421875	83.92333984375
12	83.5418701171875	105.6671142578125	77.056884765625	82.0159912109375
15	84.3048095703125	106.4300537109375	77.4383544921875	81.634521484375
18	85.0677490234375	107.574462890625	78.582763671875	81.2530517578125
21	86.5936279296875	108.33740234375	79.7271728515625	81.634521484375
24	86.5936279296875	107.1929931640625	80.108642578125	82.3974609375
27	85.44921875	107.1929931640625	79.7271728515625	82.0159912109375
30	81.2530517578125	105.28564453125	75.1495361328125	78.582763671875
33	83.92333984375	105.6671142578125	76.2939453125	80.4901123046875
36	84.686279296875	106.4300537109375	76.2939453125	82.0159912109375
39	84.3048095703125	106.4300537109375	81.2530517578125	81.2530517578125
42	83.5418701171875	106.4300537109375	78.582763671875	81.2530517578125
45	82.7789306640625	107.1929931640625	79.7271728515625	81.2530517578125
48	83.92333984375	107.1929931640625	77.4383544921875	81.2530517578125
51	85.8306884765625	107.9559326171875	81.634521484375	83.92333984375
54	87.738037109375	107.9559326171875	82.3974609375	85.0677490234375
57	90.789794921875	114.44091796875	85.8306884765625	87.3565673828125
60	89.263916015625	114.0594482421875	85.0677490234375	83.160400390625
63	89.263916015625	112.152099609375	85.44921875	84.686279296875
66	88.8824462890625	111.0076904296875	83.5418701171875	84.686279296875
69	88.5009765625	111.0076904296875	87.738037109375	86.212158203125
72	90.4083251953125	112.9150390625	84.686279296875	86.97509765625
75	93.07861328125	115.203857421875	86.97509765625	86.97509765625
78	94.2230224609375	115.203857421875	88.5009765625	88.8824462890625
81	94.6044921875	116.3482666015625	91.9342041015625	90.4083251953125
84	95.367431640625	119.0185546875	93.07861328125	88.5009765625
87	101.0894775390625	124.7406005859375	99.18212890625	95.367431640625
90	106.048583984375	128.936767578125	102.6153564453125	100.7080078125
93	108.33740234375	130.0811767578125	107.574462890625	101.470947265625
96	109.100341796875	130.8441162109375	108.33740234375	102.6153564453125
99	111.0076904296875	133.8958740234375	111.38916015625	104.9041748046875
102	119.0185546875	142.2882080078125	117.1112060546875	106.8115234375
105	118.255615234375	141.90673828125	118.255615234375	109.4818115234375
108	121.307373046875	145.3399658203125	120.1629638671875	109.4818115234375
111	130.8441162109375	154.4952392578125	130.8441162109375	119.0185546875
114	136.1846923828125	162.506103515625	138.092041015625	123.59619140625
117	145.3399658203125	170.5169677734375	148.01025390625	133.1329345703125
120	151.824951171875	172.42431640625	155.2581787109375	133.1329345703125
123	161.3616943359375	184.2498779296875	165.557861328125	141.143798828125
126	168.9910888671875	191.1163330078125	172.42431640625	146.484375
129	184.63134765625	208.282470703125	193.4051513671875	162.8875732421875
132	199.127197265625	223.1597900390625	210.1898193359375	173.187255859375
135	212.09716796875	233.8409423828125	220.1080322265625	180.4351806640625
138	225.4486083984375	249.481201171875	235.3668212890625	190.73486328125
141	250.244140625	275.421142578125	264.3585205078125	210.9527587890625
144	268.1732177734375	289.5355224609375	279.6173095703125	222.3968505859375
147	291.0614013671875	318.5272216796875	305.5572509765625	239.9444580078125
150	325.775146484375	350.189208984375	338.7451171875	265.1214599609375
153	346.37451171875	370.4071044921875	360.107421875	280.3802490234375
156	375.3662109375	402.069091796875	391.0064697265625	297.9278564453125
159	407.7911376953125	434.4940185546875	421.142578125	322.723388671875
162	440.97900390625	466.9189453125	451.66015625	344.8486328125
165	472.6409912109375	501.6326904296875	482.177734375	368.499755859375
168	507.7362060546875	540.1611328125	516.8914794921875	395.5841064453125
171	539.398193359375	567.2454833984375	542.8314208984375	413.8946533203125
174	576.7822265625	607.2998046875	578.6895751953125	442.5048828125
177	597.7630615234375	627.899169921875	596.2371826171875	455.0933837890625
180	625.6103515625	659.942626953125	622.55859375	472.6409912109375
183	648.49853515625	681.304931640625	643.157958984375	489.044189453125
186	674.8199462890625	711.4410400390625	666.80908203125	511.5509033203125
189	689.697265625	728.2257080078125	682.830810546875	526.8096923828125
192	696.563720703125	737.762451171875	686.2640380859375	535.2020263671875
195	696.1822509765625	742.7215576171875	688.5528564453125	536.346435546875
198	696.9451904296875	741.5771484375	693.1304931640625	545.8831787109375
201	692.7490234375	738.525390625	688.934326171875	549.31640625
204	682.06787109375	728.9886474609375	682.06787109375	548.9349365234375
207	655.7464599609375	705.718994140625	658.416748046875	533.294677734375
210	632.8582763671875	680.1605224609375	638.580322265625	525.665283203125
213	609.2071533203125	660.3240966796875	625.2288818359375	519.9432373046875
216	580.2154541015625	634.002685546875	601.1962890625	505.828857421875
219	548.1719970703125	602.3406982421875	571.8231201171875	490.9515380859375
222	514.984130859375	567.626953125	541.68701171875	471.8780517578125
225	483.70361328125	535.9649658203125	514.984130859375	452.0416259765625
228	456.6192626953125	509.6435546875	487.8997802734375	438.3087158203125
231	430.6793212890625	482.177734375	465.0115966796875	425.72021484375
234	394.439697265625	448.9898681640625	432.9681396484375	395.965576171875
237	370.025634765625	422.66845703125	405.8837890625	378.7994384765625
240	349.0447998046875	400.1617431640625	384.9029541015625	358.9630126953125
243	331.4971923828125	384.9029541015625	365.8294677734375	350.189208984375
246	310.1348876953125	365.0665283203125	346.37451171875	334.930419921875
249	293.731689453125	349.42626953125	325.3936767578125	315.093994140625
252	276.947021484375	335.693359375	310.1348876953125	301.361083984375
255	273.5137939453125	328.826904296875	300.59814453125	294.49462890625
258	263.214111328125	321.197509765625	288.39111328125	283.050537109375
261	250.244140625	308.2275390625	273.5137939453125	268.5546875
